director_ids,director_names,birthYear,deathYear,predicted_gender,true_gender
nm0040872,Jimmy Atmaja,\N,\N,Male,male
nm4172408,Ege Heckmann,\N,\N,Male,male
nm0268327,Scott Farrell,\N,\N,Male,Male
nm2905618,Attila,1986,\N,Male,male
nm6225087,Todd Darling,,,Male,male
nm0313075,John Gentile,\N,\N,Male,male
nm2052906,Ravi Bhatia,\N,\N,Male,male
nm7222231,Stefan Marcinek,1977,\N,Male,male
nm1027075,Sid Meier,1954,\N,Male,male
nm3799245,Gérôme Bouda,1981,\N,Male,male
nm2098652,Ornette Spenceley,\N,\N,Female,male
nm5991704,Ivana Noa,\N,\N,Female,female
nm5344040,Keywan Karimi,\N,\N,Male,male
nm0207003,Antonio de Anda,\N,\N,Male,male
nm1075995,Chiara Bellini,1973,\N,Female,female
nm3033272,O.H. Krill,\N,\N,Male,male
nm4255478,Damian Hussey,\N,\N,Male,male
nm1295541,Dustin Woehrmann,\N,\N,Male,male
nm2364438,Brandon T. David,\N,\N,Male,male
nm0724543,Frank Richardson,1898,1962,Female,male
nm7237244,Jake Wilkens,\N,\N,Male,male
nm5232330,Graham Hoyland,\N,\N,Male,male
nm4201549,Chris Penney,\N,\N,Female,male
nm4252151,Ignatiy Vishnevetsky,\N,\N,Male,male
nm2566836,Gayatri,\N,\N,Female,female
nm0070492,Ludwig Bender,1908,1973,Male,male
nm5313215,Tim Hendrix,\N,\N,Female,male
nm0426917,Iain Johnstone,1943,\N,Male,male
nm0464012,Zaza Kolelishvili,1957,\N,Female,male
nm1644628,Ramdjan Abdoelrahman,\N,\N,Male,male
nm2033360,Matthew Jones,1987,\N,Male,male
nm1415463,Diederik Ebbinge,1969,\N,Male,male
nm1499952,Mario Romeo Milano,\N,\N,Male,male
nm1237936,Daniel Hopsicker,\N,\N,Male,male
nm0795354,Vladimir Shredel,1918,1993,Male,male
nm1172488,Caterina Klusemann,1973,\N,Female,female
nm7997473,Dr. E. Koushan,,,Male,male
nm1825266,Adel Chaveleh,\N,\N,Female,male
nm4125054,Emily Wiest,\N,\N,Female,female
nm3548951,Ivan Ramadan,\N,\N,Male,male
nm0812773,Helena Solberg,1942,\N,Female,female
nm0102127,Paul Boyington,\N,\N,Male,male
nm3290316,Caleb Green,\N,\N,Male,male
nm4420729,Isabell Suba,1981,\N,Female,female
nm6275285,Davin Tjen,\N,\N,Male,male
nm1449180,Mauro Andrizzi,1980,\N,Male,male
nm0768642,Harmel Sbraire,\N,\N,Male,male
nm5436595,Aris Koulaidis,\N,\N,Female,male
nm1587471,Kurt Tuffendsam,1979,\N,Male,male
nm3414587,Shankar Ray,\N,\N,Male,male
nm0148645,Felicia Cernaianu,1940,2010,Female,female
nm0114340,Neil Brown,\N,\N,Male,male
nm0228400,Tim Disney,\N,\N,Female,male
nm1103129,Jun'ichi Mori,1967,\N,Male,male
nm5499785,Henry Strong,\N,\N,Male,male
nm2446694,Vatche Boulghourjian,\N,\N,Male,male
nm2153158,Darin Wood,\N,\N,Male,male
nm7725015,Peter Arnell,\N,\N,Male,male
nm6436497,Pavel Siska,\N,\N,Male,male
nm0793005,Ti Shih,1932,\N,Male,male
nm3567368,Courtland J. Tell,\N,\N,Male,male
nm0005468,Michael Stipe,1960,\N,Male,male
nm3643988,Tony DiMaso,\N,\N,Female,male
nm6124696,Soraia Vilela,\N,\N,Female,female
nm1341601,Paul Freedman,\N,\N,Male,male
nm4516785,Sara Vulovic,\N,\N,Female,female
nm4679912,Linshan Zhao,\N,\N,Male,male
