,review_count_user,review_count_critic,metascore,rating_value,runtime,movie_year,opening_weekend_value,open_wk_cur_AUD,open_wk_cur_CAD,open_wk_cur_DEM,open_wk_cur_GBP,open_wk_cur_ITL,open_wk_cur_JPY,open_wk_cur_SEK,open_wk_cur_SGD,open_wk_cur_USD,gross_value,gross_cur_USD,budget_value,budget_cur_AUD,budget_cur_CAD,budget_cur_EUR,budget_cur_GBP,budget_cur_INR,budget_cur_USD,color_Black_and_White,color_Color,country_Argentina,country_Australia,country_Brazil,country_Canada,country_Denmark,country_Finland,country_France,country_Germany,country_Greece,country_Hong_Kong,country_India,country_Italy,country_Japan,country_Mexico,country_Netherlands,country_Other,country_Russia,country_Soviet_Union,country_Spain,country_Sweden,country_Turkey,country_UK,country_USA,country_West_Germany,language_Arabic,language_Dutch,language_English,language_French,language_German,language_Greek,language_Hindi,language_Italian,language_Japanese,language_Mandarin,language_Other,language_Portuguese,language_Russian,language_Spanish,language_Swedish,language_Turkish,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film_Noir,genre_Game_Show,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_None,genre_Reality_TV,genre_Romance,genre_Sci_Fi,genre_Short,genre_Sport,genre_Talk_Show,genre_Thriller,genre_War,genre_Western,title_category_TV,title_category_movie,title_category_video,title_subcategory_TV_episode,title_subcategory_TV_miniseries,title_subcategory_TV_movie,title_subcategory_TV_series,title_subcategory_TV_short,title_subcategory_movie,title_subcategory_video,birthYear,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,Ceremony,Award_Actor,Award_Actor in a Leading Role,Award_Actor in a Supporting Role,Award_Actress,Award_Actress in a Leading Role,Award_Actress in a Supporting Role,Award_Assistant Director,Award_Directing,Award_Directing (Comedy Picture),Award_Directing (Dramatic Picture),Winner_Actor,Winner_Actor in a Leading Role,Winner_Actor in a Supporting Role,Winner_Actress,Winner_Actress in a Leading Role,Winner_Actress in a Supporting Role,Winner_Assistant Director,Winner_Directing,Winner_Directing (Comedy Picture),Winner_Directing (Dramatic Picture),movie_class,Gender_Female,Gender_Male
0,418,263,98,8.3,153.0,1927,1070.0,0,0,0,0,0,0,0,0,1,26435.0,1,6000000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1890,1,0,0,8,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,average,0,1
1,213,119,96,8.6,87.0,1936,11507.0,0,0,0,0,0,0,0,0,1,163245.0,1,1500000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1889,0,0,0,4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excellent,0,1
2,540,213,100,8.1,102.0,1939,5354311.0,0,0,0,0,0,0,0,0,1,22202612.0,1,2800000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1889,1,0,0,4,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excellent,0,1
3,540,213,100,8.1,102.0,1939,5354311.0,0,0,0,0,0,0,0,0,1,22202612.0,1,2800000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1899,1,0,0,4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excellent,0,1
4,317,124,44,6.4,118.0,2001,2562448.0,0,0,0,0,0,0,0,0,1,47095453.0,1,48000000.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1963,0,1,0,4,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,average,1,0
5,29,45,91,7.7,80.0,1953,9040.0,0,0,0,0,0,0,0,0,1,27373.0,1,30000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1911,0,1,0,2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terrible,1,0
6,29,45,91,7.7,80.0,1953,9040.0,0,0,0,0,0,0,0,0,1,27373.0,1,30000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1918,1,0,0,6,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terrible,0,1
7,185,164,78,7.5,96.0,1954,38030.0,0,0,0,0,0,0,0,0,1,10903.0,1,175000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1911,1,0,0,8,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,poor,0,1
8,605,155,98,8.7,207.0,1954,21830.0,0,0,0,0,0,0,0,0,1,269061.0,1,2000000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1910,0,1,0,4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excellent,1,0
9,60,55,80,7.8,98.0,1956,8985.0,0,0,0,0,0,0,0,0,1,41010.0,1,17500000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1917,0,1,0,4,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terrible,0,1
