director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,budget_cur_AUD,budget_cur_CAD,budget_cur_EUR,budget_cur_GBP,budget_cur_INR,budget_cur_USD,average_runtime_of_movie,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,average_movie_per_year,num_countries_screened,num_genres_directed,num_languages_released
nm0000040,Stanley Kubrick,7.3,231646.0,1,49,1951,Male,1928,0.0,0.0,1505,268,68,68.0,0.0,0.0,55637680.0,65000000.0,0,0,0,0,0,1,159.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,8.0,0.02,1,3,1
nm0000041,Akira Kurosawa,8.13,106058.0,3,53,1941,Female,1910,19.5,19.5,885,324,270,96.0,0.0,0.0,3840338.0,25400000.0,0,0,0,0,0,1,167.67,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8.2,0.06,2,3,2
nm0000095,Woody Allen,6.86,63387.94,17,51,1966,Male,1935,1.0,1.19,3710,3448,969,54.0,2.0,3.0,191208344.0,309050000.0,0,0,0,0,0,1,101.82,0,0,0,0,0,13,4,0,8,0,0,0,0,0,0,1,0,2,0,0,0,10,0,0,0,0,2,0,0,0,1,0,4,7.88,0.33,1,7,5
nm0000104,Antonio Banderas,6.3,5964.0,1,1,1999,Male,1960,0.0,0.0,72,27,46,46.0,0.0,0.0,1954202.0,15000000.0,0,0,0,0,0,1,111.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.82,1.0,1,3,1
nm0000106,Drew Barrymore,6.9,56419.0,1,6,2004,Male,1975,0.0,0.0,118,230,68,68.0,0.0,0.0,13034417.0,15000000.0,0,0,0,0,0,1,111.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,6.32,0.17,1,2,1
nm0000108,Luc Besson,6.79,132099.0,7,34,1981,Male,1959,4.0,4.33,2582,1217,331,48.0,0.0,0.0,259969403.0,429000000.0,0,0,0,0,0,0,119.57,2,0,4,1,1,2,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,2,1,0,0,0,1,4,7.52,0.21,2,15,7
nm0000110,Kenneth Branagh,6.58,190425.5,4,27,1989,Male,1960,3.0,5.0,1469,1241,216,57.0,0.0,0.0,432996698.0,318000000.0,0,0,0,0,0,1,104.5,2,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,3,7.63,0.15,1,10,2
nm0000114,Steve Buscemi,6.6,10758.0,1,9,1992,Male,1957,0.0,0.0,73,47,65,65.0,0.0,0.0,43805.0,3600000.0,0,0,0,0,0,1,94.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7.97,0.11,1,2,1
nm0000116,James Cameron,7.5,575428.67,3,32,1978,Female,1954,6.0,6.0,5645,1106,224,74.0,0.0,2.0,1436218860.0,450000000.0,0,0,0,0,0,1,149.33,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,8.12,0.09,1,8,2
nm0000118,John Carpenter,5.5,43543.0,2,40,1962,Male,1948,3.0,3.0,868,274,77,38.5,0.0,0.0,28675996.0,48000000.0,0,0,0,0,0,1,103.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,7.32,0.05,1,4,2
nm0000122,Charles Chaplin,8.6,147990.0,1,23,1914,Male,1889,0.0,0.0,213,119,96,96.0,0.0,0.0,163245.0,1500000.0,0,0,0,0,0,1,87.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8.3,0.04,1,4,1
nm0000123,George Clooney,6.68,102101.0,4,13,2002,Male,1961,3.0,3.0,1342,1332,255,61.5,0.0,1.0,181694587.0,148000000.0,0,0,0,0,0,1,106.5,0,0,0,0,1,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,4,7.28,0.31,1,7,5
nm0000126,Kevin Costner,6.75,56128.0,2,14,1990,Male,1955,6.0,6.0,877,233,96,48.0,0.0,0.0,75922071.0,102000000.0,0,0,0,0,0,1,158.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8,6.75,0.14,1,6,1
nm0000127,Wes Craven,6.35,106171.5,8,58,1954,Male,1939,2.0,3.86,4453,1791,470,59.5,0.0,0.0,450159217.0,210800000.0,0,0,0,0,0,1,106.88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,6.85,0.14,1,6,3
nm0000128,Russell Crowe,7.1,55456.0,1,13,2002,Female,1964,0.0,0.0,190,185,50,50.0,0.0,0.0,4190530.0,22500000.0,0,0,0,0,0,1,111.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8.15,0.08,1,2,4
nm0000134,Robert De Niro,6.7,87872.0,1,14,1993,Male,1943,0.0,0.0,482,195,61,61.0,0.0,0.0,59901040.0,90000000.0,0,0,0,0,0,1,167.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,7.83,0.07,1,3,5
nm0000141,David Duchovny,7.0,7550.0,1,12,1993,Male,1960,0.0,0.0,86,45,33,33.0,0.0,0.0,371081.0,6000000.0,0,0,0,0,0,1,96.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7.48,0.08,1,2,2
nm0000142,Clint Eastwood,7.19,162168.41,17,46,1971,Male,1930,1.0,1.19,7340,4218,1173,72.0,4.0,10.0,1258845836.0,810800000.0,0,0,0,0,0,1,129.94,4,0,1,0,6,0,7,0,16,0,1,0,0,5,0,1,1,5,0,0,0,1,0,0,2,0,8,3,0,0,0,1,4,8.02,0.37,1,14,7
