director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,average_runtime_of_movie,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,average_movie_per_year,num_genres_directed
nm0000040,Stanley Kubrick,7.3,231646.0,1,49,1951,Male,1928,0.0,0.0,1505,268,68,68.0,0.0,0.0,98427940.38447572,114990706.38802557,159.0,1,0,0,8,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.02,3
nm0000095,Woody Allen,6.91,64233.13,15,51,1966,Male,1935,1.0,1.36,3402,2991,866,54.0,2.0,3.0,242608742.2872194,412820755.0438489,100.73,0,1,0,4,7.88,0,0,0,0,0,12,3,0,7,0,0,0,0,0,0,1,0,2,0,0,0,8,0,0,0,0,1,0,0,0.29,7
nm0000104,Antonio Banderas,6.3,5964.0,1,1,1999,Male,1960,0.0,0.0,72,27,46,46.0,0.0,0.0,3457154.898536805,26536316.85877513,111.0,0,0,0,4,6.82,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3
nm0000106,Drew Barrymore,6.9,56419.0,1,6,2004,Male,1975,0.0,0.0,118,230,68,68.0,0.0,0.0,16795867.844298054,19328675.58744444,111.0,0,0,0,8,6.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.17,2
nm0000108,Luc Besson,6.3,89739.0,1,33,1981,Male,1959,0.0,0.0,218,231,42,42.0,0.0,0.0,41907370.16492927,34054669.80087557,111.0,0,0,1,4,7.52,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03,3
nm0000110,Kenneth Branagh,6.6,104537.5,2,27,1989,Male,1960,1.0,1.0,623,662,124,62.0,0.0,0.0,269901731.2863057,167201134.17488,105.0,0,0,1,3,7.63,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.07,6
nm0000114,Steve Buscemi,6.6,10758.0,1,9,1992,Male,1957,0.0,0.0,73,47,65,65.0,0.0,0.0,75077.39843690785,6170040.73445653,94.0,0,1,0,3,7.97,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,2
nm0000116,James Cameron,7.3,409454.5,2,26,1978,Female,1954,6.0,6.0,2583,386,141,70.5,0.0,2.0,1268056511.0723703,397230162.0442066,143.0,0,0,1,4,8.12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,4
nm0000118,John Carpenter,5.5,43543.0,2,40,1962,Male,1948,3.0,3.0,868,274,77,38.5,0.0,0.0,50966948.422010675,83013206.56666261,103.0,0,0,0,4,7.32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.05,4
nm0000122,Charles Chaplin,8.6,147990.0,1,23,1914,Male,1889,0.0,0.0,213,119,96,96.0,0.0,0.0,2126728.8459435613,19541751.777483795,87.0,0,0,0,4,8.3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04,4
